2026-03-26 17:13:53.778 [info] Starting Excalidraw MCP server...
2026-03-26 17:13:53.789 [debug] Connecting to transport...
2026-03-26 17:13:53.792 [info] Excalidraw MCP server running on stdio
2026-03-26 17:13:53.845 [info] Listing available tools
2026-04-05 13:02:18.666 [info] Starting Excalidraw MCP server...
2026-04-05 13:02:18.672 [debug] Connecting to transport...
2026-04-05 13:02:19.092 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.093 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.094 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.095 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.095 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.096 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.097 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.102 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.106 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.107 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.108 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.109 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.109 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.110 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.111 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.112 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.113 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.113 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.114 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.117 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.118 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.118 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.119 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.120 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.125 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.128 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.129 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.130 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.131 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.140 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.142 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.143 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.144 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.145 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.146 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.146 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.147 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.151 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.156 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.158 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.158 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.159 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.159 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.160 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.160 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.161 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.161 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.162 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.172 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.173 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.174 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.174 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.175 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.175 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.176 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.177 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.177 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.178 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.179 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.179 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.180 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.181 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.184 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.191 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.192 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.193 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.194 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.194 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.195 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.197 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.197 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.204 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.206 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.207 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.207 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.209 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.209 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.210 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.211 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.212 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.212 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.213 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.214 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:04:26.924 [info] Starting Excalidraw MCP server...
2026-04-05 13:04:26.932 [debug] Connecting to transport...
2026-04-05 13:04:26.933 [info] Excalidraw MCP server running on stdio
2026-04-05 13:04:26.969 [info] Listing available tools
